v1,v2,P 1->2,P 1<-2,pcor,cor
Dist,Exh,0.914,0.444,0.071,-0.544
FedUp,Exh,0,0,0.715,1
FedUp,Dist,0.962,0.756,-0.035,-0.544
DiffKids,Exh,0.323,0.078,-0.219,1
DiffKids,Dist,0.564,0.768,0.012,-0.547
DiffKids,FedUp,0,0,0.653,1
PosMoKids,Exh,0.941,0.389,0.078,-0.919
PosMoKids,Dist,0,0,-0.94,0.184
PosMoKids,FedUp,0.565,0.884,-0.064,-0.919
PosMoKids,DiffKids,0.454,0.261,0.139,-0.917
AngKids,Exh,0.928,0.447,-0.057,0.999
AngKids,Dist,0.901,0.187,0.082,-0.534
AngKids,FedUp,0.734,0.849,-0.048,0.999
AngKids,DiffKids,0,0,0.54,0.999
AngKids,PosMoKids,0.609,0.759,-0.064,-0.922
Res,Exh,0,0.005,-0.435,-1
Res,Dist,0.024,0.258,0.247,0.542
Res,FedUp,0.394,0.306,-0.143,-1
Res,DiffKids,0.897,0.424,0.058,-1
Res,PosMoKids,0.019,0.084,0.294,0.92
Res,AngKids,0.596,0.892,-0.048,-0.999
SocSup,Exh,0.081,0.093,0.009,0.992
SocSup,Dist,0.984,0.263,-0.062,-0.57
SocSup,FedUp,0.6,0.013,-0.056,0.992
SocSup,DiffKids,0.727,0.283,0.02,0.992
SocSup,PosMoKids,0.525,0.743,0.038,-0.899
SocSup,AngKids,0.542,0.616,0.015,0.991
SocSup,Res,0.129,0.049,-0.208,-0.993
