v1,v2,P 1->2,P 1<-2,pcor,ran_SD_pcor,cor,ran_SD_cor
Dist,Exh,0.04,0.023,0.055,0.037,0.266,0.101
FedUp,Exh,0,0,0.303,0.108,0.532,0.087
FedUp,Dist,0.031,0.113,0.064,0.122,0.32,0.158
DiffKids,Exh,0,0,0.122,0.053,0.401,0.08
DiffKids,Dist,0.003,0.003,0.08,0.052,0.284,0.114
DiffKids,FedUp,0,0,0.216,0.068,0.483,0.08
PosMoKids,Exh,0.417,0.634,0.018,0.069,-0.169,0.117
PosMoKids,Dist,0,0,-0.546,0.178,-0.585,0.163
PosMoKids,FedUp,0.071,0.226,-0.045,0.076,-0.226,0.105
PosMoKids,DiffKids,0.064,0.081,0.047,0.05,-0.149,0.091
AngKids,Exh,0.006,0.027,0.068,0.055,0.364,0.097
AngKids,Dist,0,0,0.136,0.058,0.329,0.108
AngKids,FedUp,0,0,0.168,0.068,0.453,0.094
AngKids,DiffKids,0,0,0.347,0.1,0.521,0.107
AngKids,PosMoKids,0.956,0.789,0.005,0.07,-0.194,0.093
Res,Exh,0,0,-0.25,0.06,-0.45,0.093
Res,Dist,0.217,0.363,-0.029,0.045,-0.252,0.08
Res,FedUp,0,0,-0.208,0.102,-0.449,0.123
Res,DiffKids,0.118,0.12,-0.044,0.064,-0.314,0.112
Res,PosMoKids,0.028,0.074,0.07,0.113,0.208,0.123
Res,AngKids,0.078,0.087,-0.049,0.059,-0.305,0.094
SocSup,Exh,0.722,0.601,-0.011,0.026,-0.034,0.047
SocSup,Dist,0.168,0.06,-0.039,0.029,-0.044,0.051
SocSup,FedUp,0.983,0.969,0,0.035,-0.03,0.05
SocSup,DiffKids,0.374,0.605,0.02,0.071,-0.02,0.064
SocSup,PosMoKids,0.174,0.249,-0.032,0.045,0.001,0.057
SocSup,AngKids,0.165,0.081,-0.043,0.057,-0.057,0.046
SocSup,Res,0.907,0.646,0.008,0.076,0.029,0.086
