from,to,lag,fixed,SE,P,ran_SD
Exh,Exh,1,0.094,0.029,0.001,0.028
Exh,Dist,1,-0.009,0.033,0.778,0.118
Exh,FedUp,1,0.052,0.032,0.102,0.077
Exh,DiffKids,1,0.046,0.032,0.154,0.063
Exh,PosMoKids,1,0.023,0.032,0.48,0.107
Exh,AngKids,1,0.017,0.033,0.614,0.063
Exh,Res,1,-0.056,0.035,0.108,0.128
Exh,SocSup,1,-0.01,0.031,0.744,0.005
Dist,Exh,1,0.045,0.043,0.297,0.168
Dist,Dist,1,0.112,0.035,0.001,0.102
Dist,FedUp,1,-0.005,0.045,0.907,0.177
Dist,DiffKids,1,-0.01,0.04,0.806,0.117
Dist,PosMoKids,1,-0.102,0.037,0.006,0.128
Dist,AngKids,1,-0.004,0.043,0.926,0.14
Dist,Res,1,-0.027,0.038,0.475,0.117
Dist,SocSup,1,-0.039,0.042,0.353,0.13
FedUp,Exh,1,0.022,0.037,0.552,0.123
FedUp,Dist,1,0.046,0.029,0.122,0.054
FedUp,FedUp,1,0.095,0.032,0.003,0.048
FedUp,DiffKids,1,0.061,0.036,0.093,0.1
FedUp,PosMoKids,1,-0.032,0.031,0.291,0.07
FedUp,AngKids,1,0.063,0.039,0.11,0.127
FedUp,Res,1,-0.05,0.032,0.123,0.082
FedUp,SocSup,1,0.003,0.038,0.932,0.112
DiffKids,Exh,1,0.065,0.035,0.063,0.123
DiffKids,Dist,1,0.024,0.036,0.498,0.149
DiffKids,FedUp,1,0.088,0.033,0.008,0.095
DiffKids,DiffKids,1,0.096,0.038,0.011,0.137
DiffKids,PosMoKids,1,-0.013,0.034,0.705,0.127
DiffKids,AngKids,1,0.046,0.033,0.163,0.071
DiffKids,Res,1,-0.002,0.029,0.957,0.054
DiffKids,SocSup,1,0.015,0.033,0.663,0.077
PosMoKids,Exh,1,0.038,0.04,0.345,0.147
PosMoKids,Dist,1,-0.138,0.036,0,0.125
PosMoKids,FedUp,1,0,0.04,0.996,0.135
PosMoKids,DiffKids,1,0.031,0.042,0.47,0.152
PosMoKids,PosMoKids,1,0.097,0.035,0.006,0.106
PosMoKids,AngKids,1,-0.024,0.039,0.546,0.108
PosMoKids,Res,1,0.064,0.036,0.078,0.111
PosMoKids,SocSup,1,0.018,0.04,0.647,0.112
AngKids,Exh,1,-0.002,0.037,0.954,0.157
AngKids,Dist,1,-0.008,0.031,0.794,0.113
AngKids,FedUp,1,-0.013,0.031,0.68,0.087
AngKids,DiffKids,1,0.041,0.031,0.177,0.069
AngKids,PosMoKids,1,0.019,0.026,0.457,0.04
AngKids,AngKids,1,0.036,0.033,0.27,0.089
AngKids,Res,1,-0.002,0.026,0.931,0.036
AngKids,SocSup,1,0.005,0.03,0.878,0.049
Res,Exh,1,-0.038,0.035,0.28,0.129
Res,Dist,1,0.048,0.03,0.106,0.088
Res,FedUp,1,-0.007,0.03,0.804,0.058
Res,DiffKids,1,0.012,0.033,0.722,0.086
Res,PosMoKids,1,-0.035,0.03,0.244,0.086
Res,AngKids,1,-0.003,0.031,0.912,0.049
Res,Res,1,0.029,0.032,0.357,0.094
Res,SocSup,1,0.008,0.034,0.818,0.095
SocSup,Exh,1,-0.031,0.023,0.177,0.063
SocSup,Dist,1,-0.005,0.026,0.834,0.101
SocSup,FedUp,1,-0.012,0.023,0.588,0.049
SocSup,DiffKids,1,0.011,0.025,0.659,0.064
SocSup,PosMoKids,1,0.015,0.022,0.492,0.059
SocSup,AngKids,1,0.002,0.024,0.941,0.047
SocSup,Res,1,0.02,0.027,0.461,0.106
SocSup,SocSup,1,0.087,0.034,0.01,0.15
